gender,city,state,maritalstatus,haschild
F,LAWSON,MO,S,Y
M,COBALT,ID,M,N
M,DILLEY,TX,S,Y
F,PROSPECT HARBOR,ME,S,N
M,NORTH CHARLESTON,SC,S,N
M,FRANKLIN,TN,S,N
M,DALLAS,PA,S,N
M,LEAVITTSBURG,OH,S,Y
F,MONMOUTH,IA,S,Y
F,ALEXANDRIA,VA,M,N
M,GROTON,CT,S,N
F,CHITTENDEN,VT,M,N
F,HAYDEN,ID,S,N
M,LENEXA,KS,S,Y
F,THAYER,IA,M,N
F,WINDSOR,MA,M,Y
F,GLADSTONE,VA,M,Y
F,MACON,GA,S,Y
F,GARVIN,MN,S,Y
M,SUTHERLAND,NE,S,Y
F,NEWTON,NH,S,N
M,CONWAY,PA,S,N
F,HULETT,WY,M,Y
M,HARTFORD,CT,S,N
M,PENSACOLA,FL,S,Y
M,FRANKLIN,TN,M,N
M,ALGOMA,WI,S,N
F,MEDINA,ND,S,Y
M,HENDERSON,NV,S,Y
F,MADISON,WI,M,Y
M,NASHVILLE,TN,M,Y
F,DELMAR,DE,S,Y
M,ROGERSON,ID,S,Y
F,MARION,MS,M,Y
F,SAINT JOHNSBURY,VT,S,N
M,SALT LAKE CITY,UT,M,Y
M,HARPER,KS,M,N
F,GOLDSMITH,IN,S,N
F,LOCUSTVILLE,VA,M,Y
F,EDINBURG,TX,S,N
F,BEARDEN,AR,M,Y
M,CLAM GULCH,AK,S,N
M,EAST GREENWICH,RI,S,Y
M,DARFUR,MN,S,N
F,MEDINA,OH,M,Y
F,WAKEFIELD,RI,S,N
F,WASHINGTON,DC,M,Y
M,EXETER,RI,S,Y
M,KUNA,ID,S,N
M,SCHOFIELD,WI,M,Y
F,JERICHO,NY,S,N
M,RECLUSE,WY,M,Y
M,NEWCOMB,TN,M,Y
M,BIRMINGHAM,AL,M,N
F,MANSFIELD,MA,M,Y
F,LAGRANGE,GA,M,Y
F,RED ROCK,AZ,M,Y
M,GATESVILLE,TX,S,Y
M,LOUISVILLE,KY,S,N
M,BOZEMAN,MT,S,Y
M,MINA,NV,S,Y
F,MANCHESTER,NH,S,Y
F,FORT WASHINGTON,PA,M,N
M,NORTHFIELD FALLS,VT,S,N
M,CASSADAGA,FL,M,Y
F,LARKSPUR,CO,S,Y
M,GLEN ROCK,NJ,S,Y
M,LAKE PROVIDENCE,LA,M,N
M,BREWER,ME,M,N
F,PALM COAST,FL,M,N
F,ELLSWORTH,ME,M,N
M,DANUBE,MN,M,N
M,CLAYMONT,DE,S,N
F,FOREST CITY,NC,S,N
M,COLUMBIA,MO,S,Y
M,LAKE HIAWATHA,NJ,M,Y
F,MEDIMONT,ID,S,Y
F,LAKEWOOD,WA,S,N
F,BRANDON,WI,M,Y
M,FRENCHMANS BAYOU,AR,S,N
M,MAPLETON,ME,S,Y
M,RENO,NV,M,Y
M,FEDORA,SD,M,Y
F,CHARLESTON,WV,M,N
M,CEDAR LAKE,MI,M,Y
M,CLARENDON,AR,M,Y
F,MARION,IL,S,N
F,BOONE,CO,S,Y
M,SILVIS,IL,M,N
M,MEETEETSE,WY,M,Y
F,NORTH HARTLAND,VT,S,N
F,TROY,NH,S,N
F,HUMBOLDT,AZ,M,Y
F,POCAHONTAS,IL,M,N
F,BAXTER SPRINGS,KS,S,N
M,JAY,OK,M,N
F,BONNERS FERRY,ID,M,Y
M,MILLRY,AL,M,N
M,RAPID CITY,SD,M,N
M,BENA,MN,M,Y
M,BURLINGTON,WY,S,Y
F,WAVERLY,OH,S,N
M,ALTON BAY,NH,S,N
M,DELMAR,DE,M,Y
F,MORGANVILLE,KS,S,N
M,NORWOOD,MN,S,Y
F,LINCOLNVILLE,ME,M,N
F,ALEXANDRIA,LA,S,N
F,COMANCHE,TX,M,Y
F,NAYLOR,MO,S,N
F,ORLANDO,FL,S,N
M,WASHINGTON,DC,S,N
M,WASHINGTON,DC,M,Y
F,WASHINGTON,DC,S,N
M,MERCURY,NV,S,Y
M,YODER,CO,M,Y
F,PHOENIX,AZ,M,Y
M,COLUMBUS,GA,S,Y
M,ARGYLE,GA,M,N
M,GLENPOOL,OK,S,N
F,BIRCH TREE,MO,M,N
M,LUCERNE,MO,M,Y
F,BALTIMORE,MD,M,N
F,ALTA,WY,S,N
F,ELBERT,CO,M,N
F,PARKER CITY,IN,M,N
F,WEYMOUTH,MA,S,N
F,ERILINE,KY,S,Y
F,CLINCHFIELD,GA,S,Y
M,PAWTUCKET,RI,M,N
M,NEW MARKET,MD,S,Y
M,DENVER,CO,M,N
M,FINGAL,ND,S,Y
F,MOUNT ALTO,WV,M,Y
M,SIBLEY,MS,S,Y
M,MOBILE,AL,M,N
F,HARLOWTON,MT,S,Y
M,SAN JUAN,PR,M,N
F,MORRISTOWN,MN,S,Y
F,RENO,NV,S,Y
F,ROUND POND,ME,M,N
F,HONOLULU,HI,M,N
F,GOLDSTON,NC,M,Y
F,PROVO,UT,S,N
F,ALLENTON,WI,S,N
M,OAKFIELD,WI,M,N
M,BOULDER,CO,M,N
M,MANTADOR,ND,S,N
M,HIGHLAND,MD,S,Y
M,MARION,SC,M,Y
F,BIG COVE TANNERY,PA,M,N
M,GLENWOOD,MN,M,Y
F,CANTON,CT,M,Y
F,BELCOURT,ND,S,Y
F,UNIONVILLE,MO,M,Y
M,SNOWVILLE,UT,M,Y
F,MOONACHIE,NJ,S,Y
M,TAMMS,IL,S,Y
M,COOKEVILLE,TN,M,N
M,CAYEY,PR,S,Y
F,BAKERSFIELD,VT,S,Y
F,MAYETTA,KS,S,N
M,OKTAHA,OK,M,N
F,PERHAM,MN,M,Y
M,JEROMESVILLE,OH,S,N
F,DECATUR,MS,S,N
M,OLDHAMS,VA,M,Y
M,LINVILLE FALLS,NC,M,N
M,TUCSON,AZ,S,N
F,CHARLESTOWN,RI,S,N
M,GRANT,FL,S,Y
M,EASTLAKE,MI,S,Y
M,YALE,OK,S,Y
F,HONOLULU,HI,M,Y
F,MOTLEY,MN,M,Y
F,OGDEN,UT,S,Y
M,CAMDEN,SC,M,Y
M,PEACE DALE,RI,M,Y
F,HARLEM,MT,M,N
F,WIGGINS,MS,S,N
F,SANTA CRUZ,NM,M,Y
F,MEADOW,UT,S,Y
F,JAMAICA,NY,M,Y
F,ALBUQUERQUE,NM,M,Y
M,CULLEN,VA,M,N
F,NORFOLK,CT,M,Y
F,COFFEE CREEK,MT,S,Y
M,CAMBRIDGE,VT,S,N
F,RENTON,WA,S,N
M,GRAY HAWK,KY,M,Y
M,AUBURN,PA,M,N
M,DETROIT,MI,M,N
F,CHRISNEY,IN,M,Y
F,AVON,MT,M,N
M,NORTH POLE,AK,S,N
M,TULSA,OK,M,N
M,SCHROEDER,MN,M,Y
M,ELGIN,AZ,M,Y
M,WILMINGTON,DE,M,N
M,CORAM,MT,M,N
M,MILWAUKEE,WI,S,Y
F,HUGHESVILLE,MD,S,Y
F,WAIMANALO,HI,M,Y
M,WHITES CREEK,TN,S,Y
F,HANSCOM AFB,MA,S,Y
F,STERLING,VA,M,N
M,BARTON,MD,S,Y
F,DODGE,ND,S,N
M,NISLAND,SD,S,Y
F,PETAL,MS,S,Y
M,HAGERMAN,ID,M,Y
M,KNAPP,WI,S,N
F,BLAIR,NE,M,N
M,ECHO,MN,S,Y
F,HONOLULU,HI,M,Y
F,HAMILTON,ND,S,N
M,RUTLEDGE,AL,M,N
M,CARROLLTON,GA,S,Y
M,PALL MALL,TN,S,Y
M,THE DALLES,OR,M,Y
M,UNIVERSITY PARK,PA,M,N
F,BONDVILLE,VT,M,N
M,LOVELAND,CO,M,N
F,WALTHOURVILLE,GA,M,Y
M,ARECIBO,PR,S,Y
M,HOPE,ME,M,N
M,CHOCTAW,OK,S,N
M,HITCHCOCK,OK,S,N
M,LAFAYETTE,LA,M,N
F,ELMORA,PA,M,N
M,ACWORTH,GA,S,N
M,HONOLULU,HI,S,Y
M,NORTH BRANFORD,CT,M,N
M,FORT LAUDERDALE,FL,M,N
F,WASHINGTON,DC,M,Y
M,LAGUNA,NM,M,N
F,HUNTLAND,TN,S,Y
M,COUNCIL HILL,OK,M,N
F,NEWARK,NJ,M,N
F,POPEJOY,IA,S,N
F,PEORIA,IL,S,N
F,KARLSRUHE,ND,M,Y
M,LAS VEGAS,NV,S,N
F,GUNNISON,CO,S,N
F,PHOENIX,AZ,S,N
M,SALE CREEK,TN,M,N
F,JOLIET,IL,M,Y
F,SAINT JOSEPH,MO,M,N
F,PINE VALLEY,UT,M,N
M,LOUP CITY,NE,M,Y
F,FORT THOMAS,KY,M,Y
M,COLTON,NY,M,Y
F,FAIR HAVEN,NY,M,Y
F,WILMINGTON,DE,S,N
F,BISON,KS,M,N
M,ROCKFORD,MN,S,Y
M,SANTA FE,NM,S,Y
F,PENNINGTON,NJ,M,N
M,HOLMES,PA,M,N
M,LONE ROCK,WI,M,N
F,MONARCH,MT,M,N
F,MARICOPA,AZ,M,N
F,CORVALLIS,MT,S,N
M,WALTON,OR,M,Y
M,BAKERSFIELD,CA,M,Y
F,EL PASO,TX,M,Y
M,SAINT GEORGE,SC,S,Y
M,TONTITOWN,AR,S,N
F,SCOTTSDALE,AZ,M,Y
F,WASHINGTON,DC,M,N
M,SAN JUAN,PR,M,N
F,CHERRYVALE,KS,M,Y
M,EAST PROVIDENCE,RI,M,N
M,MONROE,AR,M,Y
M,VALLEY FARMS,AZ,S,N
M,KENDRICK,ID,M,Y
M,CHEYENNE,WY,M,Y
F,PLANTSVILLE,CT,S,Y
M,WOODSTOCK,VT,M,N
F,NORDEN,CA,S,N
M,CHARLOTTE,NC,M,N
M,NORDEN,CA,M,N
M,EITZEN,MN,M,Y
M,DALLAS,TX,S,N
M,INDIAHOMA,OK,S,N
F,AUBURNTOWN,TN,M,N
M,UTICA,SD,S,Y
M,WARREN,NJ,S,N
M,PROVIDENCE,RI,S,Y
F,GILBERT,AZ,S,Y
M,ZEELAND,MI,M,Y
M,MIDDLETOWN,DE,M,Y
M,COLUMBUS,GA,S,Y
F,GIBSON,TN,M,Y
F,FLAT ROCK,MI,M,Y
F,RUPERT,VT,M,Y
F,FOOTVILLE,WI,S,Y
M,JBER,AK,S,N
M,CLAYTON LAKE,ME,S,N
M,ADRIAN,MN,M,N
M,MERCURY,NV,M,N
F,COVELO,CA,S,N
M,CONCONULLY,WA,M,N
M,LAS VEGAS,NV,M,N
F,CRAWFORDSVILLE,IN,S,N
F,GROVES,TX,M,Y
M,SAINT ANTHONY,ID,M,Y
F,KINGSTON,NH,S,Y
M,LOMA,MT,S,N
F,TUCSON,AZ,M,N
M,HAYDEN,AZ,M,N
F,EAST DORSET,VT,M,N
F,COSTILLA,NM,M,N
F,GRAMERCY,LA,S,N
M,MOORHEAD,MS,S,N
F,CHEYENNE,WY,M,Y
M,HOUSTON,TX,S,N
F,CLAYTON,NJ,M,N
M,U S A F ACADEMY,CO,S,Y
M,ST COLUMBANS,NE,M,N
M,JESSUP,MD,S,N
F,MORROW,AR,S,N
F,HASKELL,OK,S,Y
M,LORETTO,MN,M,N
F,AYR,NE,M,Y
F,LAS VEGAS,NV,S,N
F,HUBBARDSTON,MA,S,N
M,ROCKVILLE,RI,S,N
M,CASTLE CREEK,NY,S,N
F,SAN JUAN,PR,M,Y
F,MIDDLETOWN,RI,S,Y
M,MILLSBORO,DE,M,Y
F,COILA,MS,S,N
M,LAKEVILLE,OH,S,Y
M,ELLENSBURG,WA,M,Y
F,BROWNWOOD,TX,M,Y
F,CHERRY HILL,NJ,S,N
M,PETERSBURG,ND,M,Y
F,BRUNSWICK,ME,M,N
F,SACRAMENTO,CA,M,N
F,CARET,VA,M,N
M,LAS VEGAS,NV,M,N
F,SAINT LOUIS,MO,M,N
M,EAST POULTNEY,VT,S,Y
M,POLLARD,AR,M,Y
M,NORTH BAY,NY,M,Y
F,BLACKSTOCK,SC,M,N
F,SLIDELL,LA,M,Y
M,VIRGIN,UT,S,N
M,WANATAH,IN,M,N
M,SINKING SPRING,OH,S,Y
F,NEVADA,OH,S,N
F,YAUCO,PR,S,Y
F,GREENWALD,MN,S,Y
F,GONZALES,LA,M,N
M,MOFFAT,CO,M,N
F,EASTANOLLEE,GA,S,N
M,SOUTH HACKENSACK,NJ,S,N
F,NEWPORT,ME,M,Y
M,KIPNUK,AK,M,N
F,NARRAGANSETT,RI,S,N
M,ARLINGTON,OR,M,Y
M,SAINT LIBORY,NE,S,Y
F,LITTLE RIVER,CA,M,N
F,ALLERTON,IA,S,N
M,SENTINEL BUTTE,ND,M,Y
M,FARGO,ND,M,Y
M,MILMAY,NJ,S,N
F,ELFERS,FL,M,N
M,WALDO,KS,M,N
F,PUUNENE,HI,M,N
F,BERTHA,MN,S,Y
M,MANCHAUG,MA,M,Y
M,JORDAN,NY,S,Y
F,THE LAKES,NV,M,N
M,BLOCK ISLAND,RI,M,Y
M,OLIVE,MT,S,N
M,TOLEDO,IA,S,N
M,MOODUS,CT,M,N
M,KNIGHTSTOWN,IN,M,N
M,WATERLOO,IA,S,Y
F,HAWAII NATIONAL PARK,HI,S,Y
F,CORVALLIS,OR,S,Y
M,TRUTH OR CONSEQUENCES,NM,M,N
M,LAKE OSWEGO,OR,M,Y
F,NAMPA,ID,S,N
F,HILLSDALE,IN,S,N
M,NORTH SMITHFIELD,RI,S,Y
M,CASSVILLE,WV,M,N
F,EAST PROVIDENCE,RI,S,N
M,BOSSIER CITY,LA,M,Y
F,JACKSONVILLE,FL,S,N
M,GARLAND,TX,M,Y
M,JEROME,MI,M,Y
M,LINCOLN,DE,S,N
M,HYDABURG,AK,S,Y
F,MARLIN,WA,S,N
F,FOUNTAIN GREEN,UT,S,Y
M,ETOWAH,AR,S,Y
F,HENDRIX,OK,S,Y
M,MONTEZUMA,NC,S,N
F,GREER,SC,M,Y
F,CAROLINA,PR,M,N
M,TRACY,CA,S,N
F,BUCKLAND,AK,S,Y
F,HUNTINGTON,IN,S,N
F,ORANGEVILLE,UT,M,Y
F,LADYS ISLAND,SC,M,N
M,ATKINS,AR,S,Y
M,LAMY,NM,M,Y
F,BATESVILLE,IN,S,Y
F,OMAHA,NE,S,N
M,MIAMI,FL,M,N
F,FORT LARAMIE,WY,S,N
F,THAYER,IL,S,Y
F,PLAINVILLE,CT,S,Y
M,RICHLANDS,VA,M,N
M,LOWELL,MA,M,Y
M,EWA BEACH,HI,S,Y
M,RANDOLPH CENTER,VT,M,Y
F,PINECREST,CA,M,Y
