hospitalname,address1,city,hospitaltype,hospitalowner
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,Acute Care Hospitals,Government - Federal
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,Acute Care Hospitals,Government - Hospital District or Authority
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,215 PERRY HILL ROAD,MONTGOMERY,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
PIKE COUNTY HOSPITAL,315 E 13TH ST,MURFREESBORO,Acute Care Hospitals,Government - Local
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD,TUSCALOOSA,Acute Care - VA Medical Center,Government Federal
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
WASHINGTON COUNTY HOSPITAL,649 ST STEPHENS AVENUE HIGHWAY 56,CHATOM,Critical Access Hospitals,Government - Hospital District or Authority
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,Critical Access Hospitals,Voluntary non-profit - Other
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
RANDOLPH MEDICAL CENTER,59928 HIGHWAY 22   P O BOX 670,ROANOKE,Critical Access Hospitals,Government - Hospital District or Authority
UNIV OF S AL CHILDREN'S & WOMEN'S HOS,1700 CENTER STREET,MOBILE,Childrens,Government - State
UNIV OF S AL CHILDREN'S & WOMEN'S HOS,1700 CENTER STREET,MOBILE,Childrens,Government - State
UNIV OF S AL CHILDREN'S & WOMEN'S HOS,1700 CENTER STREET,MOBILE,Childrens,Government - State
PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,Acute Care Hospitals,Voluntary non-profit - Private
PROVIDENCE ALASKA MEDICAL CENTER,BOX 196604,ANCHORAGE,Acute Care Hospitals,Voluntary non-profit - Private
